state,division,aec_abbrev
ACT,Bean,BEAN
ACT,Canberra,CANB
ACT,Fenner,FENN
NSW,Banks,BANK
NSW,Barton,BART
NSW,Bennelong,BENN
NSW,Berowra,BERO
NSW,Blaxland,BLAX
NSW,Bradfield,BRFD
NSW,Calare,CALA
NSW,Chifley,CHIF
NSW,Cook,COOK
NSW,Cowper,COWP
NSW,Cunningham,CUNN
NSW,Dobell,DOBE
NSW,Eden-Monaro,EMON
NSW,Farrer,FARR
NSW,Fowler,FOWL
NSW,Gilmore,GILM
NSW,Grayndler,GRAY
NSW,Greenway,GREE
NSW,Hughes,HUGH
NSW,Hume,HUME
NSW,Hunter,HUNT
NSW,Kingsford Smith,KSMI
NSW,Lindsay,LIND
NSW,Lyne,LYNE
NSW,Macarthur,MACA
NSW,Mackellar,MACK
NSW,Macquarie,MACQ
NSW,McMahon,MCMA
NSW,Mitchell,MITC
NSW,New England,NENG
NSW,Newcastle,NEWC
NSW,North Sydney,NSYD
NSW,Page,PAGE
NSW,Parkes,PARK
NSW,Parramatta,PARR
NSW,Paterson,PATE
NSW,Reid,REID
NSW,Richmond,RICH
NSW,Riverina,RIVE
NSW,Robertson,ROBE
NSW,Shortland,SHOR
NSW,Sydney,SYDN
NSW,Warringah,WARR
NSW,Watson,WATS
NSW,Wentworth,WENT
NSW,Werriwa,WERR
NSW,Whitlam,WHIT
NT,Lingiari,LING
NT,Solomon,SOLO
QLD,Blair,BLAI
QLD,Bonner,BONN
QLD,Bowman,BOWM
QLD,Brisbane,BRIS
QLD,Capricornia,CAPR
QLD,Dawson,DAWS
QLD,Dickson,DICK
QLD,Fadden,FADD
QLD,Fairfax,FAIR
QLD,Fisher,FISH
QLD,Flynn,FLYN
QLD,Forde,FORD
QLD,Griffith,GRIF
QLD,Groom,GROO
QLD,Herbert,HERB
QLD,Hinkler,HINK
QLD,Kennedy,KENN
QLD,Leichhardt,LEIC
QLD,Lilley,LILL
QLD,Longman,LONG
QLD,Maranoa,MARA
QLD,Mcpherson,MCPH
QLD,Moncrieff,MONC
QLD,Moreton,MORE
QLD,Oxley,OXLE
QLD,Petrie,PETR
QLD,Rankin,RANK
QLD,Ryan,RYAN
QLD,Wide Bay,WBAY
QLD,Wright,WRIG
SA,Adelaide,ADEL
SA,Barker,BARK
SA,Boothby,BOOT
SA,Grey,GREY
SA,Hindmarsh,HIND
SA,Kingston,KING
SA,Makin,MAKI
SA,Mayo,MAYO
SA,Spence,SPEN
SA,Sturt,STUR
TAS,Bass,BASS
TAS,Braddon,BRAD
TAS,Clark,CLAR
TAS,Franklin,FRAN
TAS,Lyons,LYON
VIC,Aston,ASTO
VIC,Ballarat,BALL
VIC,Bendigo,BEND
VIC,Bruce,BRUC
VIC,Calwell,CALW
VIC,Casey,CASE
VIC,Chisholm,CHIS
VIC,Cooper,COOP
VIC,Corangamite,CORA
VIC,Corio,CORI
VIC,Deakin,DEAK
VIC,Dunkley,DUNK
VIC,Flinders,FLIN
VIC,Fraser,FRAS
VIC,Gellibrand,GELL
VIC,Gippsland,GIPP
VIC,Goldstein,GOLD
VIC,Gorton,GORT
VIC,Higgins,HIGG
VIC,Holt,HOLT
VIC,Hotham,HOTH
VIC,Indi,INDI
VIC,Isaacs,ISAA
VIC,Jagajaga,JAGA
VIC,Kooyong,KOOY
VIC,La Trobe,LALO
VIC,Lalor,LTRO
VIC,Macnamara,MACN
VIC,Mallee,MALL
VIC,Maribyrnong,MARI
VIC,McEwen,MCEW
VIC,Melbourne,MELB
VIC,Menzies,MENZ
VIC,Monash,MONA
VIC,Nicholls,NICH
VIC,Scullin,SCUL
VIC,Wannon,WANN
VIC,Wills,WILL
WA,Brand,BRAN
WA,Burt,BURT
WA,Canning,CANN
WA,Cowan,COWA
WA,Curtin,CURT
WA,Durack,DURA
WA,Forrest,FORR
WA,Fremantle,FREM
WA,Hasluck,HASL
WA,Moore,MOOR
WA,O'Connor,OCON
WA,Pearce,PEAR
WA,Perth,PERT
WA,Stirling,STIR
WA,Swan,SWAN
WA,Tangney,TANG