aec_full_name,aec_abbrev,short_name,colour_code
Australian Progressives,AUP,Progressives,#4B0082
Independent,IND,Independent,#888888
The Great Australian Party,GAP,Great Australian,#142961
Liberal Democrats,LDP,Liberal Democrats,#0E3B6D
United Australia Party,UAPP,United Australia,#FFED00
Liberal,LP,Liberal,#9966CC
Australian Labor Party,ALP,Labor,#F00011
The Greens,GRN,Greens,#10C25B
Animal Justice Party,AJP,Animal Justice,#A52A2A
Christian Democratic Party (Fred Nile Group),CDP,Christian Democrats,#800080
Pauline Hanson's One Nation,ON,One Nation,#F36C21
Science Party,FUT,Science,#13C5E9
Sustainable Australia,SPP,Sustainable Australia,#047E49
"Shooters, Fishers and Farmers",ASP,"Shooters, Fishers and Farmers",#E52B50
The Nationals,NP,Nationals,#008000
FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,CNP,Conservative National,#4169E1
Non-Custodial Parents Party (Equal Parenting),NCP,Non-Custodial Parents,#0095B6
Australian Better Families,ABF,Better Families,#2EA3F2
Socialist Equality Party,SEP,Socialist Equality,#B7410E
Australia First Party,AFP,Australia First,#5D8AA5
Australian Workers Party,AWP,Workers,#F14613
Involuntary Medication Objectors (Vaccination/Fluoride) Party,IMO,Involuntary Medication Objectors,#DD7D1D
Rise Up Australia Party,RUA,Rise Up Australia,#0080FF
Country Liberals (NT),CLP,Country Liberal,#FF7F00
Liberal National Party of Queensland,LNP,Liberal National,#1456F1
Labour DLP,DLP,Democratic Labour,#FFB536
Socialist Alliance,SAL,Socialist Alliance,#990000
Katter's Australian Party (KAP),KAP,Katter's Australian,#B50204
Love Australia or Leave,LAL,Love Australia or Leave,#374569
Australian Democrats,DEM,Democrats,#FFCD00
Centre Alliance,XEN,Centre Alliance,#FF6300
National Party,NP,National,#008000
Child Protection Party,CPP,Child Protection,#4B96DD
The Greens (VIC),GVIC,Greens,#10C25B
Citizens Electoral Council,CEC,CEC,#666600
Victorian Socialists,VS,Victorian Socialists,#000000
Derryn Hinch's Justice Party,DHJP,Justice,#0A2C61
Reason Australia,ASXP,Reason,#4BB8B3
Australian Christians,AUC,Christians,#FFDC00
WESTERN AUSTRALIA PARTY,WAP,Western Australia,#000000
VOTEFLUX.ORG | Upgrade Democracy!,FLUX,VOTEFLUX,#FF4500
Help End Marijuana Prohibition (HEMP) Party,HMP,HEMP,#ADFF2F
Health Australia Party,NMP,Health Australia,#357D26
Pirate Party,PIR,Pirate,#0073AE
Affordable Housing Party,AHP,Affordable Housing Party,#551A8B
Australian People's Party,APP,People's Party,#800020
The Together Party,TOG,Together,#731B54
Australian Conservatives,FFP,Conservatives,#00B9FB
Independents For Climate Action Now,ICAN,Climate Action,#065DFC
The Women's Party,WOM,Women's,#FF5583
Seniors United Party of Australia,SUN,Seniors United,#949599
Climate Action! Immigration Action! Accountable Politicians!,CAIA,Climate Action,#065DFC
The Small Business Party,SBP,Small Business NSW,#F68C1E
The Australian Mental Health Party,MHP,Mental Health,#20286C
Jacqui Lambie Network,JLN,Lambie Network,#FFCB08
Republican Party of Australia,REP,Republican,#AF4035
Secular Party of Australia,SPA,Secular,#0072BB
Yellow Vest Australia,ALA,Yellow Vest,#FFFF00